order_item_id,order_id,sku,quantity,unit_price,discount_pct,modified_date
ITEM-2001,ORD-1001,SKU-100,1,149.99,0,2026-08-01T09:12:00
ITEM-2002,ORD-1002,SKU-101,2,44.75,0,2026-08-01T10:03:00
ITEM-2003,ORD-1003,SKU-102,1,320.00,0,2026-08-02T14:22:00
ITEM-2004,ORD-1004,SKU-103,1,59.99,0,2026-08-02T16:45:00
ITEM-2005,ORD-1005,SKU-104,3,70.25,5,2026-08-03T08:30:00
ITEM-2006,ORD-1006,SKU-100,1,45.00,0,2026-08-03T11:15:00
ITEM-2007,ORD-1007,SKU-105,1,999.99,0,2026-08-04T09:50:00
ITEM-2008,ORD-1008,SKU-106,1,15.25,0,2026-08-04T13:05:00
ITEM-2009,ORD-1009,SKU-107,1,75.00,0,2026-08-05T10:00:00
ITEM-2010,ORD-1010,SKU-108,-2,12.50,0,2026-08-05T12:40:00
ITEM-2011,ORD-1011,SKU-109,2,90.00,0,2026-08-06T15:20:00
ITEM-2012,ORD-1012,SKU-110,1,64.30,0,2026-08-06T17:00:00
ITEM-2013,ORD-1013,SKU-100,2,66.20,0,2026-08-07T09:10:00
ITEM-2014,ORD-1014,SKU-111,1,299.00,0,2026-08-07T11:55:00
ITEM-2015,ORD-9999,SKU-112,1,10.00,0,2026-08-07T12:00:00
